trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
26,18,35,42,68,1,3,10,-1,0,-1,farther
26,18,37,42,68,1,3,10,-1,0,-1,farther
26,18,39,42,68,1,0,3,-1,0,-1,closer
26,19,6,42,68,1,6,18,-1,0,-1,farther
26,19,23,42,68,1,6,18,-1,0,-1,farther
26,19,26,42,68,1,6,18,-1,0,-1,farther
27,0,0,42,69,1,3,12,12,1,0.949944,closer
27,0,4,42,69,1,3,12,12,1,0.950966,closer
27,0,6,42,69,1,18,12,12,1,0.951707,closer
27,0,7,42,69,1,12,16,-1,0,-1,farther
27,0,10,42,69,1,12,4,-1,0,-1,farther
27,0,12,42,69,1,12,4,-1,0,-1,farther
27,0,14,42,69,1,18,12,12,1,0.952458,closer
27,0,15,42,69,1,12,16,-1,0,-1,farther
27,0,29,42,69,1,12,3,-1,0,-1,farther
27,0,30,42,69,1,12,16,-1,0,-1,farther
27,0,41,42,69,1,12,10,-1,0,-1,farther
27,0,48,42,69,1,18,12,12,1,0.953299,closer
27,1,12,42,69,1,12,1,1,1,0.306658,closer
27,1,22,42,69,1,1,19,-1,0,-1,farther
27,1,23,42,69,1,10,1,1,1,0.307739,closer
27,1,32,42,69,1,10,1,1,1,0.3084,closer
27,1,41,42,69,1,12,1,1,1,0.309241,closer
27,2,1,42,69,1,19,10,-1,0,-1,farther
27,2,10,42,69,1,12,19,19,1,0.408747,closer
27,2,12,42,69,1,1,19,19,1,0.502174,closer
27,2,35,42,69,1,19,11,-1,0,-1,farther
27,2,39,42,69,1,19,11,-1,0,-1,farther
27,2,42,42,69,1,19,11,-1,0,-1,farther
27,3,2,42,69,1,11,8,-1,0,-1,farther
27,3,23,42,69,1,1,11,11,1,0.164764,closer
27,3,28,42,69,1,9,11,11,1,0.186384,closer
27,3,32,42,69,1,1,11,11,1,0.209105,closer
27,3,49,42,69,1,10,11,11,1,0.230214,closer
27,4,18,42,69,1,3,1,1,1,0.167048,closer
27,4,19,42,69,1,2,1,1,1,0.194656,closer
27,4,22,42,69,1,1,2,-1,0,-1,farther
27,4,41,42,69,1,1,10,-1,0,-1,farther
27,5,3,42,69,1,17,18,-1,0,-1,farther
27,5,13,42,69,1,16,17,17,1,0.165526,closer
27,5,25,42,69,1,16,17,17,1,0.192683,closer
27,6,8,42,69,1,9,14,-1,0,-1,farther
27,6,11,42,69,1,7,9,9,1,0.170492,closer
27,6,31,42,69,1,9,14,-1,0,-1,farther
27,6,42,42,69,1,19,9,9,1,0.19787,closer
27,7,3,42,69,1,17,18,-1,0,-1,farther
27,7,13,42,69,1,17,16,-1,0,-1,farther
27,7,25,42,69,1,17,16,-1,0,-1,farther
27,8,9,42,69,1,3,6,6,1,0.196448,closer
27,8,20,42,69,1,3,6,6,1,0.19771,closer
27,8,45,42,69,1,13,6,6,1,0.198771,closer
27,9,1,42,69,1,19,5,5,1,0.418811,closer
27,9,39,42,69,1,19,5,5,1,0.70419,closer
27,9,43,42,69,1,5,4,-1,0,-1,farther
27,9,44,42,69,1,10,5,5,1,0.705502,closer
27,9,49,42,69,1,11,5,5,1,0.706373,closer
27,10,7,42,69,1,12,19,19,1,0.173076,closer
27,10,10,42,69,1,19,4,-1,0,-1,farther
27,10,12,42,69,1,19,4,-1,0,-1,farther
27,10,13,42,69,1,17,19,19,1,0.200734,closer
27,10,15,42,69,1,12,19,19,1,0.496978,closer
