seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,3,45,20,50,2,43,-16.9998,-164.781,1,14,31.812,1,0,37.799,1.1882,0
42,3,45,20,50,2,44,-69.8196,-89.9278,1,16,6.15916,1,4,19.2386,3.12357,0
42,3,45,20,50,2,45,-6.34353,136.589,2,1,23.7636,1,1,23.7636,1,1
42,3,45,20,50,2,46,64.8033,-177.852,1,0,48.1707,1,0,48.1707,1,1
42,3,45,20,50,2,47,17.0335,115.91,2,8,8.14777,1,1,21.0096,2.57857,0
42,3,45,20,50,2,48,-44.4238,102.009,2,9,22.8523,1,7,40.834,1.78687,0
42,3,45,20,50,2,49,54.0957,-24.2711,1,19,19.363,1,6,67.2131,3.47122,0
42,4,46,20,50,2,0,-34.2086,-92.2618,1,19,25.0558,1,7,50.3465,2.00938,0
42,4,46,20,50,2,1,-46.3232,85.8204,2,17,25.071,1,1,30.7185,1.22526,0
42,4,46,20,50,2,2,-73.2611,-63.9754,1,13,10.1556,1,7,21.0354,2.07131,0
42,4,46,20,50,2,3,61.9145,-32.8365,1,2,36.6189,1,2,36.6189,1,1
42,4,46,20,50,2,4,-11.1347,68.131,2,1,8.47756,1,1,8.47756,1,1
42,4,46,20,50,2,5,-34.4528,78.7616,2,1,17.6993,1,1,17.6993,1,1
42,4,46,20,50,2,6,24.1916,30.6635,2,15,29.1715,1,0,46.1807,1.58307,0
42,4,46,20,50,2,7,41.9899,49.6418,2,15,5.22912,1,9,61.3653,11.7353,0
42,4,46,20,50,2,8,12.7103,113.233,2,6,28.4841,1,1,49.1708,1.72625,0
42,4,46,20,50,2,9,-78.7926,90.8018,2,4,8.52805,1,3,17.236,2.02109,0
42,4,46,20,50,2,10,-59.4039,114.204,2,4,26.1565,1,3,40.6965,1.55589,0
42,4,46,20,50,2,11,-17.3632,-176.072,1,11,22.8803,1,7,62.842,2.74656,0
42,4,46,20,50,2,12,85.7613,93.9478,2,5,15.9561,1,5,15.9561,1,1
42,4,46,20,50,2,13,53.651,-81.8137,1,16,23.2695,1,16,23.2695,1,1
42,4,46,20,50,2,14,-53.4927,-131.943,1,8,20.8538,1,7,22.5876,1.08314,0
42,4,46,20,50,2,15,17.4719,4.59746,1,0,24.9204,1,0,24.9204,1,1
42,4,46,20,50,2,16,-22.1023,122.298,2,6,9.78804,1,1,45.5498,4.65362,0
42,4,46,20,50,2,17,-44.7911,-10.7266,1,18,11.2162,1,3,33.1767,2.95793,0
42,4,46,20,50,2,18,-60.8389,-145.753,1,7,14.891,1,7,14.891,1,1
42,4,46,20,50,2,19,68.2184,36.0528,2,15,24.4678,1,5,37.9339,1.55036,0
